entity_type,industry,organization,seniority
Government,Entertainment,OrgC,1
Company,Entertainment,OrgB,4
Non-Profit,Healthcare,OrgC,5
Individual,Entertainment,OrgB,2
Government,Tech,OrgB,2
Non-Profit,Tech,OrgA,5
Non-Profit,Entertainment,OrgC,3
Government,Entertainment,OrgD,4
Company,Healthcare,OrgB,6
Individual,Tech,OrgD,7
Non-Profit,Finance,OrgB,1
Government,Tech,OrgA,9
Individual,Finance,OrgC,9
Government,Healthcare,OrgA,2
Government,Healthcare,OrgA,8
Non-Profit,Entertainment,OrgC,1
Individual,Finance,OrgA,5
Government,Entertainment,OrgD,9
Non-Profit,Entertainment,OrgA,9
Individual,Tech,OrgA,10
Government,Tech,OrgA,6
Company,Finance,OrgA,8
Company,Finance,OrgD,4
Individual,Tech,OrgD,5
Company,Healthcare,OrgB,8
Government,Finance,OrgC,10
Company,Entertainment,OrgB,2
Company,Finance,OrgA,3
Non-Profit,Healthcare,OrgD,9
Non-Profit,Healthcare,OrgC,10
Non-Profit,Healthcare,OrgB,5
Government,Finance,OrgA,2
Individual,Healthcare,OrgC,9
Non-Profit,Finance,OrgA,3
Company,Finance,OrgD,2
Individual,Tech,OrgC,6
Individual,Finance,OrgA,6
Non-Profit,Finance,OrgC,9
Government,Entertainment,OrgA,5
Non-Profit,Tech,OrgD,5
Government,Entertainment,OrgD,4
Individual,Healthcare,OrgC,6
Government,Finance,OrgA,8
Company,Healthcare,OrgD,10
Non-Profit,Healthcare,OrgA,9
Individual,Tech,OrgB,8
Individual,Finance,OrgD,9
Government,Healthcare,OrgD,6
Individual,Finance,OrgC,10
Government,Finance,OrgA,3
Non-Profit,Tech,OrgC,5
Company,Finance,OrgD,2
Company,Entertainment,OrgB,8
Government,Finance,OrgC,10
Individual,Healthcare,OrgA,5
Government,Healthcare,OrgD,6
Non-Profit,Tech,OrgB,7
Non-Profit,Finance,OrgD,7
Government,Entertainment,OrgD,5
Individual,Healthcare,OrgC,5
Company,Tech,OrgB,1
Individual,Healthcare,OrgC,5
Government,Healthcare,OrgD,3
Individual,Tech,OrgD,5
Individual,Tech,OrgA,2
Company,Tech,OrgB,2
Non-Profit,Finance,OrgC,5
Individual,Tech,OrgB,10
Non-Profit,Healthcare,OrgA,8
Non-Profit,Finance,OrgA,6
Non-Profit,Entertainment,OrgA,6
Non-Profit,Tech,OrgD,3
Individual,Tech,OrgD,5
Non-Profit,Entertainment,OrgA,7
Non-Profit,Healthcare,OrgC,10
Government,Tech,OrgA,10
Government,Finance,OrgC,8
Non-Profit,Entertainment,OrgA,5
Individual,Entertainment,OrgC,1
Government,Finance,OrgC,9
Individual,Entertainment,OrgC,2
Individual,Entertainment,OrgC,5
Individual,Entertainment,OrgC,6
Government,Tech,OrgB,1
Individual,Tech,OrgA,8
Government,Finance,OrgB,1
Company,Tech,OrgA,6
Individual,Tech,OrgC,7
Company,Finance,OrgB,4
Individual,Entertainment,OrgA,10
Company,Finance,OrgC,3
Non-Profit,Entertainment,OrgC,3
Government,Tech,OrgA,9
Non-Profit,Tech,OrgB,8
Government,Tech,OrgC,8
Company,Tech,OrgB,8
Government,Tech,OrgC,6
Company,Healthcare,OrgA,7
Non-Profit,Entertainment,OrgC,4
Company,Tech,OrgC,1
